from,to,relation,weight,type
T,GiRa,family,1,clan
GiRa,T,family,1,clan
VB,GiMo,family,1,clan
VB,SaMo,family,1,clan
GiMo,VB,family,1,clan
SaMo,VB,family,1,clan
GiMo,SaMo,family,2,member
SaMo,GiMo,family,2,member
VC,AnPi,family,1,clan
VC,GiPi,family,1,clan
VC,ViPi,family,1,clan
AnPi,VC,family,1,clan
GiPi,VC,family,1,clan
ViPi,VC,family,1,clan
AnPi,GiPi,family,2,member
AnPi,ViPi,family,2,member
GiPi,AnPi,family,2,member
GiPi,ViPi,family,2,member
ViPi,AnPi,family,2,member
ViPi,GiPi,family,2,member
N,RaSp,family,1,clan
N,GiuS,family,1,clan
N,ARot,family,1,clan
RaSp,N,family,1,clan
GiuS,N,family,1,clan
ARot,N,family,1,clan
RaSp,GiuS,family,2,member
RaSp,ARot,family,1,member
GiuS,RaSp,family,2,member
GiuS,ARot,family,1,member
ARot,RaSp,family,1,member
ARot,GiuS,family,1,member
PC,ViSo,family,1,clan
PC,GiCo,family,1,clan
PC,GiDi,family,1,clan
PC,SeMi,family,1,clan
ViSo,PC,family,1,clan
GiCo,PC,family,1,clan
GiDi,PC,family,1,clan
SeMi,PC,family,1,clan
ViSo,GiCo,family,1,member
ViSo,GiDi,family,1,member
ViSo,SeMi,family,1,member
GiCo,ViSo,family,1,member
GiCo,GiDi,family,1,member
GiCo,SeMi,family,1,member
GiDi,ViSo,family,1,member
GiDi,GiCo,family,1,member
GiDi,SeMi,family,1,member
SeMi,ViSo,family,1,member
SeMi,GiCo,family,1,member
SeMi,GiDi,family,1,member
FS,BeSa,family,1,clan
FS,FrCa,family,1,clan
FS,DoCo,family,1,clan
FS,SaCr,family,1,clan
FS,SaEr,family,1,clan
FS,AnFe,family,1,clan
FS,FrFe,family,1,clan
FS,GiFe,family,1,clan
BeSa,FS,family,1,clan
FrCa,FS,family,1,clan
DoCo,FS,family,1,clan
SaCr,FS,family,1,clan
SaEr,FS,family,1,clan
AnFe,FS,family,1,clan
FrFe,FS,family,1,clan
GiFe,FS,family,1,clan
BeSa,FrCa,family,1,member
BeSa,DoCo,family,1,member
BeSa,SaCr,family,1,member
BeSa,SaEr,family,1,member
BeSa,AnFe,family,1,member
BeSa,FrFe,family,1,member
BeSa,GiFe,family,1,member
FrCa,BeSa,family,1,member
FrCa,DoCo,family,1,member
FrCa,SaCr,family,1,member
FrCa,SaEr,family,1,member
FrCa,AnFe,family,1,member
FrCa,FrFe,family,1,member
FrCa,GiFe,family,1,member
DoCo,BeSa,family,1,member
DoCo,FrCa,family,1,member
DoCo,SaCr,family,1,member
DoCo,SaEr,family,1,member
DoCo,AnFe,family,1,member
DoCo,FrFe,family,1,member
DoCo,GiFe,family,1,member
SaCr,BeSa,family,1,member
SaCr,FrCa,family,1,member
SaCr,DoCo,family,1,member
SaCr,SaEr,family,1,member
SaCr,AnFe,family,1,member
SaCr,FrFe,family,1,member
SaCr,GiFe,family,1,member
SaEr,BeSa,family,1,member
SaEr,FrCa,family,1,member
SaEr,DoCo,family,1,member
SaEr,SaCr,family,1,member
SaEr,AnFe,family,1,member
SaEr,FrFe,family,1,member
SaEr,GiFe,family,1,member
AnFe,BeSa,family,1,member
AnFe,FrCa,family,1,member
AnFe,DoCo,family,1,member
AnFe,SaCr,family,1,member
AnFe,SaEr,family,1,member
AnFe,FrFe,family,2,member
AnFe,GiFe,family,2,member
FrFe,BeSa,family,1,member
FrFe,FrCa,family,1,member
FrFe,DoCo,family,1,member
FrFe,SaCr,family,1,member
FrFe,SaEr,family,1,member
FrFe,AnFe,family,2,member
FrFe,GiFe,family,2,member
GiFe,BeSa,family,1,member
GiFe,FrCa,family,1,member
GiFe,DoCo,family,1,member
GiFe,SaCr,family,1,member
GiFe,SaEr,family,1,member
GiFe,AnFe,family,2,member
GiFe,FrFe,family,2,member
BeSa,SaRi,ally,2,member
BeSa,MaAg,ally,1,member
BeSa,GMad,ally,1,member
AnFe,SaRi,ally,1,member
AnFe,MaAg,ally,1,member
AnFe,GMad,ally,1,member
CM,FiMa,family,1,clan
CM,BeTi,family,1,clan
CM,PiVe,family,1,clan
CM,CaZa,family,1,clan
CM,AnMa,family,1,clan
CM,GiMa,family,1,clan
CM,ViMa,family,1,clan
CM,GaTi,family,1,clan
CM,GiTi,family,1,clan
CM,LoTi,family,1,clan
CM,AnVe,family,1,clan
CM,CoVe,family,1,clan
CM,GiVe,family,1,clan
CM,RuVe,family,1,clan
CM,GiZa,family,1,clan
CM,OnZa,family,1,clan
CM,GiAb,family,1,clan
CM,MaAb,family,1,clan
CM,PaAl,family,1,clan
CM,PiAl,family,1,clan
CM,FiAr,family,1,clan
CM,GaAr,family,1,clan
CM,FrBu,family,1,clan
