from,to,relation,weight
T,GiRa,family,1
GiRa,T,family,1
VB,GiMo,family,1
VB,SaMo,family,1
GiMo,VB,family,1
SaMo,VB,family,1
GiMo,SaMo,family,2
SaMo,GiMo,family,2
VC,AnPi,family,1
VC,GiPi,family,1
VC,ViPi,family,1
AnPi,VC,family,1
GiPi,VC,family,1
ViPi,VC,family,1
AnPi,GiPi,family,2
AnPi,ViPi,family,2
GiPi,AnPi,family,2
GiPi,ViPi,family,2
ViPi,AnPi,family,2
ViPi,GiPi,family,2
N,RaSp,family,1
N,GiuS,family,1
N,ARot,family,1
RaSp,N,family,1
GiuS,N,family,1
ARot,N,family,1
RaSp,GiuS,family,2
RaSp,ARot,family,1
GiuS,RaSp,family,2
GiuS,ARot,family,1
ARot,RaSp,family,1
ARot,GiuS,family,1
PC,ViSo,family,1
PC,GiCo,family,1
PC,GiDi,family,1
PC,SeMi,family,1
ViSo,PC,family,1
GiCo,PC,family,1
GiDi,PC,family,1
SeMi,PC,family,1
ViSo,GiCo,family,1
ViSo,GiDi,family,1
ViSo,SeMi,family,1
GiCo,ViSo,family,1
GiCo,GiDi,family,1
GiCo,SeMi,family,1
GiDi,ViSo,family,1
GiDi,GiCo,family,1
GiDi,SeMi,family,1
SeMi,ViSo,family,1
SeMi,GiCo,family,1
SeMi,GiDi,family,1
FS,BeSa,family,1
FS,FrCa,family,1
FS,DoCo,family,1
FS,SaCr,family,1
FS,SaEr,family,1
FS,AnFe,family,1
FS,FrFe,family,1
FS,GiFe,family,1
BeSa,FS,family,1
FrCa,FS,family,1
DoCo,FS,family,1
SaCr,FS,family,1
SaEr,FS,family,1
AnFe,FS,family,1
FrFe,FS,family,1
GiFe,FS,family,1
BeSa,FrCa,family,1
BeSa,DoCo,family,1
BeSa,SaCr,family,1
BeSa,SaEr,family,1
BeSa,AnFe,family,1
BeSa,FrFe,family,1
BeSa,GiFe,family,1
FrCa,BeSa,family,1
FrCa,DoCo,family,1
FrCa,SaCr,family,1
FrCa,SaEr,family,1
FrCa,AnFe,family,1
FrCa,FrFe,family,1
FrCa,GiFe,family,1
DoCo,BeSa,family,1
DoCo,FrCa,family,1
DoCo,SaCr,family,1
DoCo,SaEr,family,1
DoCo,AnFe,family,1
DoCo,FrFe,family,1
DoCo,GiFe,family,1
SaCr,BeSa,family,1
SaCr,FrCa,family,1
SaCr,DoCo,family,1
SaCr,SaEr,family,1
SaCr,AnFe,family,1
SaCr,FrFe,family,1
SaCr,GiFe,family,1
SaEr,BeSa,family,1
SaEr,FrCa,family,1
SaEr,DoCo,family,1
SaEr,SaCr,family,1
SaEr,AnFe,family,1
SaEr,FrFe,family,1
SaEr,GiFe,family,1
AnFe,BeSa,family,1
AnFe,FrCa,family,1
AnFe,DoCo,family,1
AnFe,SaCr,family,1
AnFe,SaEr,family,1
AnFe,FrFe,family,2
AnFe,GiFe,family,2
FrFe,BeSa,family,1
FrFe,FrCa,family,1
FrFe,DoCo,family,1
FrFe,SaCr,family,1
FrFe,SaEr,family,1
FrFe,AnFe,family,2
FrFe,GiFe,family,2
GiFe,BeSa,family,1
GiFe,FrCa,family,1
GiFe,DoCo,family,1
GiFe,SaCr,family,1
GiFe,SaEr,family,1
GiFe,AnFe,family,2
GiFe,FrFe,family,2
BeSa,SaRi,ally,2
BeSa,MaAg,ally,1
BeSa,GMad,ally,1
AnFe,SaRi,ally,1
AnFe,MaAg,ally,1
AnFe,GMad,ally,1
CM,FiMa,family,1
CM,BeTi,family,1
CM,PiVe,family,1
CM,CaZa,family,1
CM,AnMa,family,1
CM,GiMa,family,1
CM,ViMa,family,1
CM,GaTi,family,1
CM,GiTi,family,1
CM,LoTi,family,1
CM,AnVe,family,1
CM,CoVe,family,1
CM,GiVe,family,1
CM,RuVe,family,1
CM,GiZa,family,1
CM,OnZa,family,1
CM,GiAb,family,1
CM,MaAb,family,1
CM,PaAl,family,1
CM,PiAl,family,1
CM,FiAr,family,1
CM,GaAr,family,1
CM,FrBu,family,1
CM,ViBu,family,1
CM,SaBu,family,1
CM,SaCh,family,1
CM,DoFe,family,1
CM,GiIn,family,1
CM,GaLo,family,1
CM,GiLo,family,1
CM,GiOl,family,1
CM,AnSi,family,1
CM,FrPa,family,1
CM,ViSi,family,1
CM,VSdA,family,1
CM,PiTa,family,1
FiMa,CM,family,1
BeTi,CM,family,1
PiVe,CM,family,1
CaZa,CM,family,1
AnMa,CM,family,1
GiMa,CM,family,1
ViMa,CM,family,1
GaTi,CM,family,1
GiTi,CM,family,1
LoTi,CM,family,1
AnVe,CM,family,1
CoVe,CM,family,1
GiVe,CM,family,1
RuVe,CM,family,1
GiZa,CM,family,1
OnZa,CM,family,1
GiAb,CM,family,1
MaAb,CM,family,1
PaAl,CM,family,1
PiAl,CM,family,1
FiAr,CM,family,1
GaAr,CM,family,1
FrBu,CM,family,1
ViBu,CM,family,1
SaBu,CM,family,1
SaCh,CM,family,1
DoFe,CM,family,1
GiIn,CM,family,1
GaLo,CM,family,1
GiLo,CM,family,1
GiOl,CM,family,1
AnSi,CM,family,1
FrPa,CM,family,1
ViSi,CM,family,1
VSdA,CM,family,1
PiTa,CM,family,1
FiMa,BeTi,family,1
FiMa,PiVe,family,1
FiMa,CaZa,family,1
FiMa,AnMa,family,2
FiMa,GiMa,family,2
FiMa,ViMa,family,2
FiMa,GaTi,family,1
FiMa,GiTi,family,1
FiMa,LoTi,family,1
FiMa,AnVe,family,1
FiMa,CoVe,family,1
FiMa,GiVe,family,1
FiMa,RuVe,family,1
FiMa,GiZa,family,1
FiMa,OnZa,family,1
FiMa,GiAb,family,1
FiMa,MaAb,family,1
FiMa,PaAl,family,1
FiMa,PiAl,family,1
FiMa,FiAr,family,1
FiMa,GaAr,family,1
FiMa,FrBu,family,1
FiMa,ViBu,family,1
FiMa,SaBu,family,1
FiMa,SaCh,family,1
FiMa,DoFe,family,1
FiMa,GiIn,family,1
FiMa,GaLo,family,1
FiMa,GiLo,family,1
FiMa,GiOl,family,1
FiMa,AnSi,family,1
FiMa,FrPa,family,1
FiMa,ViSi,family,1
FiMa,VSdA,family,1
FiMa,PiTa,family,1
BeTi,FiMa,family,1
BeTi,PiVe,family,1
BeTi,CaZa,family,1
BeTi,AnMa,family,1
BeTi,GiMa,family,1
BeTi,ViMa,family,1
BeTi,GaTi,family,2
BeTi,GiTi,family,2
BeTi,LoTi,family,2
BeTi,AnVe,family,1
BeTi,CoVe,family,1
BeTi,GiVe,family,1
BeTi,RuVe,family,1
BeTi,GiZa,family,1
BeTi,OnZa,family,1
BeTi,GiAb,family,1
BeTi,MaAb,family,1
BeTi,PaAl,family,1
BeTi,PiAl,family,1
BeTi,FiAr,family,1
BeTi,GaAr,family,1
BeTi,FrBu,family,1
BeTi,ViBu,family,1
BeTi,SaBu,family,1
BeTi,SaCh,family,1
BeTi,DoFe,family,1
BeTi,GiIn,family,1
BeTi,GaLo,family,1
BeTi,GiLo,family,1
BeTi,GiOl,family,1
BeTi,AnSi,family,1
BeTi,FrPa,family,1
BeTi,ViSi,family,1
BeTi,VSdA,family,1
BeTi,PiTa,family,1
PiVe,FiMa,family,1
PiVe,BeTi,family,1
PiVe,CaZa,family,1
PiVe,AnMa,family,1
PiVe,GiMa,family,1
PiVe,ViMa,family,1
PiVe,GaTi,family,1
PiVe,GiTi,family,1
PiVe,LoTi,family,1
PiVe,AnVe,family,2
PiVe,CoVe,family,2
PiVe,GiVe,family,2
PiVe,RuVe,family,2
PiVe,GiZa,family,1
PiVe,OnZa,family,1
PiVe,GiAb,family,1
PiVe,MaAb,family,1
PiVe,PaAl,family,1
PiVe,PiAl,family,1
PiVe,FiAr,family,1
PiVe,GaAr,family,1
PiVe,FrBu,family,1
PiVe,ViBu,family,1
PiVe,SaBu,family,1
PiVe,SaCh,family,1
PiVe,DoFe,family,1
PiVe,GiIn,family,1
PiVe,GaLo,family,1
PiVe,GiLo,family,1
PiVe,GiOl,family,1
PiVe,AnSi,family,1
PiVe,FrPa,family,1
PiVe,ViSi,family,1
PiVe,VSdA,family,1
PiVe,PiTa,family,1
CaZa,FiMa,family,1
CaZa,BeTi,family,1
CaZa,PiVe,family,1
CaZa,AnMa,family,1
CaZa,GiMa,family,1
CaZa,ViMa,family,1
CaZa,GaTi,family,1
CaZa,GiTi,family,1
CaZa,LoTi,family,1
CaZa,AnVe,family,1
CaZa,CoVe,family,1
CaZa,GiVe,family,1
CaZa,RuVe,family,1
CaZa,GiZa,family,2
CaZa,OnZa,family,2
CaZa,GiAb,family,1
CaZa,MaAb,family,1
CaZa,PaAl,family,1
CaZa,PiAl,family,1
CaZa,FiAr,family,1
CaZa,GaAr,family,1
CaZa,FrBu,family,1
CaZa,ViBu,family,1
CaZa,SaBu,family,1
CaZa,SaCh,family,1
CaZa,DoFe,family,1
CaZa,GiIn,family,1
CaZa,GaLo,family,1
CaZa,GiLo,family,1
CaZa,GiOl,family,1
CaZa,AnSi,family,1
CaZa,FrPa,family,1
CaZa,ViSi,family,1
CaZa,VSdA,family,1
CaZa,PiTa,family,1
AnMa,FiMa,family,2
AnMa,BeTi,family,1
AnMa,PiVe,family,1
AnMa,CaZa,family,1
AnMa,GiMa,family,2
AnMa,ViMa,family,2
AnMa,GaTi,family,1
AnMa,GiTi,family,1
AnMa,LoTi,family,1
AnMa,AnVe,family,1
AnMa,CoVe,family,1
AnMa,GiVe,family,1
AnMa,RuVe,family,1
AnMa,GiZa,family,1
AnMa,OnZa,family,1
AnMa,GiAb,family,1
