from,to,relation,weight,type
A,AnDC,family,1,clan
A,GiDC,family,1,clan
AnDC,A,family,1,clan
GiDC,A,family,1,clan
AnDC,GiDC,family,2,member
AnDC,SaRi,ally,1,member
AnDC,BePr,ally,1,member
AnDC,FrCM,ally,1,member
AnDC,GiSc,ally,1,member
AnDC,RoRi,ally,1,member
AnDC,GiGr,ally,1,member
AnDC,MiGr,ally,1,member
AnDC,MaAg,ally,1,member
AnDC,BeBr,ally,1,member
AnDC,AnGe,ally,1,member
AnDC,GCal,ally,1,member
GiDC,AnDC,Giaa,2,member
B,GiSc,family,1,clan
B,LeGr,family,1,clan
GiSc,B,family,1,clan
LeGr,B,family,1,clan
GiSc,LeGr,family,1,member
GiSc,AnDC,ally,1,member
GiSc,RoRi,ally,1,member
GiSc,FrCM,ally,1,member
GiSc,BePr,ally,1,member
GiSc,SaRi,ally,1,member
GiSc,MiGr,ally,1,member
GiSc,GiGr,ally,1,member
GiSc,MaAg,ally,1,member
GiSc,BeBr,ally,1,member
GiSc,AnGe,ally,1,member
GiSc,GCal,ally,1,member
LeGr,GiSc,family,1,member
LeGr,MiGr,ally,3,member
LeGr,BePr,ally,2,member
P,RoRi,family,1,clan
P,GiCu,family,1,clan
P,GiGi,family,1,clan
P,GaMu,family,1,clan
RoRi,P,family,1,clan
GiCu,P,family,1,clan
GiGi,P,family,1,clan
GaMu,P,family,1,clan
RoRi,GiCu,family,1,member
RoRi,GiGi,family,1,member
RoRi,GaMu,family,1,member
RoRi,SaRi,conflict,NA,member
RoRi,BePr,conflict,NA,member
RoRi,AnDC,ally,1,member
RoRi,GiSc,ally,1,member
RoRi,AnGe,conflict,NA,member
RoRi,IgMo,conflict,NA,member
RoRi,FrCM,conflict,NA,member
RoRi,MaAG,ally,1,member
RoRi,BeBr,ally,1,member
RoRi,GCal,conflict,NA,member
RoRi,MiGr,ally,1,member
RoRi,GiGr,ally,1,member
GiCu,RoRi,family,1,member
GiCu,GiGi,family,1,member
GiCu,GaMu,family,1,member
GiGi,RoRi,family,1,member
GiGi,GiCu,family,1,member
GiGi,GaMu,family,1,member
GaMu,RoRi,family,1,member
GaMu,GiCu,family,1,member
GaMu,GiGi,family,1,member
GaMu,SaRi,ally,2,member
GaMu,PiVe,ally,1,member
R,FrCM,family,1,clan
R,GMad,family,1,clan
R,SMad,family,1,clan
R,GiCl,family,1,clan
FrCM,R,family,1,clan
GMad,R,family,1,clan
SMad,R,family,1,clan
GiCl,R,family,1,clan
FrCM,GMad,family,2,member
FrCM,SMad,family,2,member
FrCM,GiCl,family,1,member
FrCM,RoRi,ally,1,member
FrCM,SaRi,ally,2,member
FrCM,BePr,ally,2,member
FrCM,AnDC,ally,1,member
FrCM,GiSc,ally,1,member
FrCM,MiGr,ally,1,member
FrCM,GiGr,ally,1,member
FrCM,IgMo,ally,1,member
FrCM,AnGe,ally,1,member
FrCM,MaAg,ally,1,member
FrCM,BeBr,ally,1,member
FrCM,GCal,ally,1,member
GMad,FrCM,family,2,member
GMad,SMad,family,2,member
GMad,GiCl,family,1,member
GMad,SaRi,ally,2,member
GMad,ViPu,ally,1,member
GMad,BeSa,ally,1,member
SMad,FrCM,family,2,member
SMad,GMad,family,2,member
SMad,GiCl,family,1,member
GiCl,FrCM,family,1,member
GiCl,GMad,family,1,member
GiCl,SMad,family,1,member
SL,GiGa,family,1,clan
GiGa,SL,family,1,clan
GiGa,SaRi,ally,2,member
GiGa,GiGr,ally,1,member
GiGa,GiLu,ally,1,member
GiGa,ViPu,ally,1,member
GiGa,FiMa,ally,1,member
GiGa,GBPu,ally,1,member
TN,ArBo,family,1,clan
TN,FrBo,family,1,clan
TN,LuBo,family,1,clan
ArBo,TN,family,1,clan
FrBo,TN,family,1,clan
LuBo,TN,family,1,clan
ArBo,FrBo,family,2,member
ArBo,LuBo,family,2,member
ArBo,ViPu,ally,1,member
FrBo,ArBo,family,2,member
FrBo,LuBo,family,2,member
FrBo,PiPu,ally,1,member
LuBo,ArBo,family,2,member
LuBo,FrBo,family,2,member
BC,GSav,family,1,clan
BC,CaSa,family,1,clan
BC,ViSa,family,1,clan
BC,AnCa,family,1,clan
BC,GiuC,family,1,clan
BC,BeGr,family,1,clan
BC,FiGr,family,1,clan
BC,GGra,family,1,clan
BC,AnLI,family,1,clan
GSav,BC,family,1,clan
CaSa,BC,family,1,clan
ViSa,BC,family,1,clan
AnCa,BC,family,1,clan
GiuC,BC,family,1,clan
BeGr,BC,family,1,clan
FiGr,BC,family,1,clan
