from,to,relation,weight,type
FrPB,FrFa,family,1,member
FrPB,PiAg,family,1,member
FrPB,SaCo,family,1,member
FrPB,GBPu,family,1,member
FrPB,PiFa,family,1,member
FrPB,GLVe,family,1,member
FrPB,IgMo,family,1,member
FrPB,IgPu,family,1,member
FrPB,FrTe,family,1,member
FrPB,GiTe,family,1,member
FrFa,FrPB,family,1,member
FrFa,PiAg,family,1,member
FrFa,SaCo,family,1,member
FrFa,GBPu,family,1,member
FrFa,PiFa,family,1,member
FrFa,GLVe,family,1,member
FrFa,IgMo,family,1,member
FrFa,IgPu,family,1,member
FrFa,FrTe,family,1,member
FrFa,GiTe,family,1,member
PiAg,FrPB,family,1,member
PiAg,FrFa,family,1,member
PiAg,SaCo,family,1,member
PiAg,GBPu,family,1,member
PiAg,PiFa,family,1,member
PiAg,GLVe,family,1,member
PiAg,IgMo,family,1,member
PiAg,IgPu,family,1,member
PiAg,FrTe,family,1,member
PiAg,GiTe,family,1,member
SaCo,FrPB,family,1,member
SaCo,FrFa,family,1,member
SaCo,PiAg,family,1,member
SaCo,GBPu,family,1,member
SaCo,PiFa,family,1,member
SaCo,GLVe,family,1,member
SaCo,IgMo,family,1,member
SaCo,IgPu,family,1,member
SaCo,FrTe,family,1,member
SaCo,GiTe,family,1,member
GBPu,FrPB,family,1,member
GBPu,FrFa,family,1,member
GBPu,PiAg,family,1,member
GBPu,SaCo,family,1,member
GBPu,PiFa,family,1,member
GBPu,GLVe,family,1,member
GBPu,IgMo,family,1,member
GBPu,IgPu,family,1,member
GBPu,FrTe,family,1,member
GBPu,GiTe,family,1,member
PiFa,FrPB,family,1,member
PiFa,FrFa,family,1,member
PiFa,PiAg,family,1,member
PiFa,SaCo,family,1,member
PiFa,GBPu,family,1,member
PiFa,GLVe,family,1,member
PiFa,IgMo,family,1,member
PiFa,IgPu,family,1,member
PiFa,FrTe,family,1,member
PiFa,GiTe,family,1,member
GLVe,FrPB,family,1,member
GLVe,FrFa,family,1,member
GLVe,PiAg,family,1,member
GLVe,SaCo,family,1,member
GLVe,GBPu,family,1,member
GLVe,PiFa,family,1,member
GLVe,IgMo,family,1,member
GLVe,IgPu,family,1,member
GLVe,FrTe,family,1,member
GLVe,GiTe,family,1,member
IgMo,FrPB,family,1,member
IgMo,FrFa,family,1,member
IgMo,PiAg,family,1,member
IgMo,SaCo,family,1,member
IgMo,GBPu,family,1,member
IgMo,PiFa,family,1,member
IgMo,IgMo,family,1,member
IgMo,IgPu,family,1,member
IgPu,FrPB,family,1,member
IgPu,FrFa,family,1,member
IgPu,PiAg,family,1,member
IgPu,SaCo,family,1,member
IgPu,GBPu,family,2,member
IgPu,PiFa,family,1,member
IgPu,GLVe,family,1,member
IgPu,IgMo,family,1,member
IgPu,IgPu,family,1,member
IgPu,FrTe,family,1,member
IgPu,GiTe,family,1,member
FrTe,FrPB,family,1,member
FrTe,FrFa,family,1,member
FrTe,PiAg,family,1,member
FrTe,SaCo,family,1,member
FrTe,GBPu,family,1,member
FrTe,PiFa,family,1,member
FrTe,GLVe,family,1,member
FrTe,IgMo,family,1,member
FrTe,IgPu,family,1,member
FrTe,GiTe,family,2,member
GiTe,FrPB,family,1,member
GiTe,FrFa,family,1,member
GiTe,PiAg,family,1,member
GiTe,SaCo,family,1,member
GiTe,GBPu,family,1,member
GiTe,PiFa,family,1,member
GiTe,GLVe,family,1,member
GiTe,IgMo,family,1,member
GiTe,IgPu,family,1,member
GiTe,FrTe,family,2,member
FrPB,SM,family,1,clan
FrFa,SM,family,1,clan
PiAg,SM,family,1,clan
SaCo,SM,family,1,clan
GBPu,SM,family,1,clan
