from,to,relation,weight,type
C,SaRi,family,1,clan
C,BePr,family,1,clan
C,LeBa,family,1,clan
C,SaPa,family,1,clan
C,PaPa,family,1,clan
SaRi,C,family,1,clan
BePr,C,family,1,clan
LeBa,C,family,1,clan
SaPa,C,family,1,clan
PaPa,C,family,1,clan
SaRi,BePr,family,1,member
SaRi,LeBa,family,1,member
SaRi,SaPa,family,1,member
SaRi,PaPa,family,1,member
SaRi,MiGr,ally,2,member
SaRi,AnDc,ally,1,member
SaRi,GiSc,ally,1,member
SaRi,RoRi,conflict,NA,member
SaRi,FrCM,ally,2,member
SaRi,MaAg,ally,1,member
SaRi,BeSa,ally,2,member
SaRi,BeBr,ally,1,member
SaRi,GiBr,ally,1,member
SaRi,GCal,ally,1,member
SaRi,GiGr,conflict,NA,member
SaRi,GaMu,ally,2,member
SaRi,GMad,ally,2,member
SaRi,GiGa,ally,2,member
SaRi,GiLu,ally,2,member
SaRi,GGra,ally,2,member
SaRi,PiPu,conflict,NA,member
SaRi,ViPu,ally,1,member
SaRi,AnRo,ally,2,member
SaRi,AnGe,ally,1,member
SaRi,ToBu,conflict,NA,member
SaRi,IgMo,ally,1,member
SaRi,IgSa,conflict,NA,member
BePr,SaRi,family,1,member
BePr,LeBa,family,1,member
BePr,SaPa,family,1,member
BePr,PaPa,family,1,member
BePr,MiGr,ally,2,member
BePr,AnDC,ally,1,member
BePr,LeGr,ally,2,member
BePr,GiSc,ally,1,member
BePr,RoRi,conlict,NA,member
BePr,FrCM,ally,2,member
BePr,GiLu,ally,2,member
BePr,MaAg,ally,1,member
BePr,BeBr,ally,1,member
BePr,GiBr,ally,1,member
BePr,GCal,ally,1,member
BePr,GiGr,ally,1,member
BePr,AnGe,ally,1,member
BePr,IgMo,ally,1,member
LeBa,SaRi,family,1,member
LeBa,BePr,family,1,member
LeBa,SaPa,family,1,member
LeBa,PaPa,family,1,member
LeBa,MiGr,ally,2,member
SaPa,SaRi,family,1,member
SaPa,BePr,family,1,member
SaPa,LeBa,family,1,member
SaPa,PaPa,family,2,member
PaPa,SaRi,family,1,member
PaPa,BePr,family,1,member
PaPa,LeBa,family,1,member
PaPa,SaPa,family,2,member
PN,GCal,family,1,clan
PN,ToSp,family,1,clan
PN,GeAl,family,1,clan
PN,GiBa,family,1,clan
PN,ToBu,family,1,clan
PN,AnRo,family,1,clan
PN,GiuCa,family,1,clan
PN,GiCi,family,1,clan
PN,AnCi,family,1,clan
PN,ToMa,family,1,clan
PN,VitM,family,1,clan
PN,NiMi,family,1,clan
PN,NuMi,family,1,clan
PN,SaMi,family,1,clan
PN,SaRo,family,1,clan
PN,PiSe,family,1,clan
PN,AnSp,family,1,clan
PN,FrSp,family,1,clan
PN,GiSp,family,1,clan
PN,ViSp,family,1,clan
GCal,PN,family,1,clan
ToSp,PN,family,1,clan
GeAl,PN,family,1,clan
GiBa,PN,family,1,clan
ToBu,PN,family,1,clan
AnRo,PN,family,1,clan
GiuCa,PN,family,1,clan
GiCi,PN,family,1,clan
AnCi,PN,family,1,clan
ToMa,PN,family,1,clan
VitM,PN,family,1,clan
NiMi,PN,family,1,clan
NuMi,PN,family,1,clan
SaMi,PN,family,1,clan
SaRo,PN,family,1,clan
PiSe,PN,family,1,clan
AnSp,PN,family,1,clan
FrSp,PN,family,1,clan
GiSp,PN,family,1,clan
ViSp,PN,family,1,clan
GCal,ToSp,family,1,member
GCal,GeAl,family,1,member
GCal,GiBa,family,1,member
GCal,ToBu,family,1,member
GCal,AnRo,family,1,member
GCal,GiuCa,family,1,member
GCal,GiCi,family,1,member
GCal,AnCi,family,1,member
GCal,ToMa,family,1,member
GCal,VitM,family,1,member
GCal,NiMi,family,1,member
GCal,NuMi,family,1,member
GCal,SaMi,family,1,member
GCal,SaRo,family,1,member
GCal,PiSe,family,1,member
GCal,AnSp,family,1,member
GCal,FrSp,family,1,member
GCal,GiSp,family,1,member
GCal,ViSp,family,1,member
GCal,BePr,ally,1,member
GCal,SaRi,ally,1,member
GCal,AnDC,ally,1,member
GCal,GiSc,ally,1,member
GCal,RoRi,conflict,NA,member
GCal,FrCM,ally,1,member
GCal,MiGr,ally,1,member
GCal,GiGr,ally,1,member
GCal,AnGe,ally,1,member
ToSp,GCal,family,1,member
ToSp,GeAl,family,1,member
ToSp,GiBa,family,1,member
ToSp,ToBu,family,1,member
ToSp,AnRo,family,1,member
ToSp,GiuCa,family,1,member
ToSp,GiCi,family,1,member
ToSp,AnCi,family,1,member
ToSp,ToMa,family,1,member
ToSp,VitM,family,1,member
ToSp,NiMi,family,1,member
ToSp,NuMi,family,1,member
ToSp,SaMi,family,1,member
ToSp,SaRo,family,1,member
ToSp,PiSe,family,1,member
ToSp,AnSp,family,2,member
ToSp,FrSp,family,2,member
ToSp,GiSp,family,2,member
ToSp,ViSp,family,2,member
ToSp,GiLu,ally,3,member
ToSp,AnLu,ally,3,member
GeAl,GCal,family,1,member
GeAl,ToSp,family,1,member
GeAl,GiBa,family,1,member
GeAl,ToBu,family,1,member
GeAl,AnRo,family,1,member
GeAl,GiuCa,family,1,member
GeAl,GiCi,family,1,member
GeAl,AnCi,family,1,member
GeAl,ToMa,family,1,member
GeAl,VitM,family,1,member
GeAl,NiMi,family,1,member
GeAl,NuMi,family,1,member
GeAl,SaMi,family,1,member
GeAl,SaRo,family,1,member
GeAl,PiSe,family,1,member
GeAl,AnSp,family,1,member
GeAl,FrSp,family,1,member
GeAl,GiSp,family,1,member
GeAl,ViSp,family,1,member
GiBa,GCal,family,1,member
GiBa,ToSp,family,1,member
GiBa,GeAl,family,1,member
GiBa,ToBu,family,1,member
GiBa,AnRo,family,1,member
GiBa,GiuCa,family,1,member
GiBa,GiCi,family,1,member
GiBa,AnCi,family,1,member
GiBa,ToMa,family,1,member
GiBa,VitM,family,1,member
GiBa,NiMi,family,1,member
GiBa,NuMi,family,1,member
GiBa,SaMi,family,1,member
GiBa,SaRo,family,1,member
GiBa,PiSe,family,1,member
GiBa,AnSp,family,1,member
GiBa,FrSp,family,1,member
GiBa,GiSp,family,1,member
GiBa,ViSp,family,1,member
ToBu,GCal,conflict,NA,member
ToBu,ToSp,family,1,member
ToBu,GeAl,family,1,member
ToBu,GiBa,family,1,member
ToBu,AnRo,family,1,member
ToBu,GiuCa,family,1,member
ToBu,GiCi,family,1,member
ToBu,AnCi,family,1,member
ToBu,ToMa,family,1,member
ToBu,VitM,family,1,member
ToBu,NiMi,family,1,member
ToBu,NuMi,family,1,member
ToBu,SaMi,family,1,member
ToBu,SaRo,family,1,member
ToBu,PiSe,family,1,member
ToBu,AnSp,family,1,member
ToBu,FrSp,family,1,member
ToBu,GiSp,family,1,member
ToBu,ViSp,family,1,member
ToBu,IgSa,conflict,NA,member
ToBu,SaRi,conflict,NA,member
AnRo,GCal,family,1,member
AnRo,ToSp,family,1,member
AnRo,GeAl,family,1,member
AnRo,GiBa,family,1,member
AnRo,ToBu,family,1,member
AnRo,GiuCa,family,1,member
AnRo,GiCi,family,1,member
AnRo,AnCi,family,1,member
AnRo,ToMa,family,1,member
AnRo,VitM,family,1,member
AnRo,NiMi,family,1,member
AnRo,NuMi,family,1,member
AnRo,SaMi,family,1,member
AnRo,SaRo,family,2,member
AnRo,PiSe,family,1,member
AnRo,AnSp,family,1,member
AnRo,FrSp,family,1,member
AnRo,GiSp,family,1,member
AnRo,ViSp,family,1,member
AnRo,SaRi,ally,2,member
GiuCa,GCal,family,1,member
GiuCa,ToSp,family,1,member
GiuCa,GeAl,family,1,member
GiuCa,GiBa,family,1,member
GiuCa,ToBu,family,1,member
GiuCa,AnRo,family,1,member
GiuCa,GiCi,family,1,member
GiuCa,AnCi,family,1,member
GiuCa,ToMa,family,1,member
GiuCa,VitM,family,1,member
GiuCa,NiMi,family,1,member
GiuCa,NuMi,family,1,member
GiuCa,SaMi,family,1,member
GiuCa,SaRo,family,1,member
GiuCa,PiSe,family,1,member
GiuCa,AnSp,family,1,member
GiuCa,FrSp,family,1,member
GiuCa,GiSp,family,1,member
GiuCa,ViSp,family,1,member
GiCi,GCal,family,1,member
GiCi,ToSp,family,1,member
GiCi,GeAl,family,1,member
GiCi,GiBa,family,1,member
GiCi,ToBu,family,1,member
GiCi,AnRo,family,1,member
GiCi,GiuCa,family,1,member
GiCi,AnCi,family,2,member
GiCi,ToMa,family,1,member
GiCi,VitM,family,1,member
GiCi,NiMi,family,1,member
GiCi,NuMi,family,1,member
GiCi,SaMi,family,1,member
GiCi,SaRo,family,1,member
GiCi,PiSe,family,1,member
GiCi,AnSp,family,1,member
GiCi,FrSp,family,1,member
GiCi,GiSp,family,1,member
GiCi,ViSp,family,1,member
AnCi,GCal,family,1,member
AnCi,ToSp,family,1,member
AnCi,GeAl,family,1,member
AnCi,GiBa,family,1,member
AnCi,ToBu,family,1,member
AnCi,AnRo,family,1,member
AnCi,GiuCa,family,1,member
AnCi,GiCi,family,2,member
AnCi,ToMa,family,1,member
AnCi,VitM,family,1,member
AnCi,NiMi,family,1,member
AnCi,NuMi,family,1,member
AnCi,SaMi,family,1,member
AnCi,SaRo,family,1,member
AnCi,PiSe,family,1,member
AnCi,AnSp,family,1,member
AnCi,FrSp,family,1,member
AnCi,GiSp,family,1,member
AnCi,ViSp,family,1,member
ToMa,GCal,family,1,member
ToMa,ToSp,family,1,member
ToMa,GeAl,family,1,member
ToMa,GiBa,family,1,member
ToMa,ToBu,family,1,member
ToMa,AnRo,family,1,member
ToMa,GiuCa,family,1,member
ToMa,GiCi,family,1,member
ToMa,AnCi,family,1,member
ToMa,VitM,family,2,member
ToMa,NiMi,family,1,member
ToMa,NuMi,family,1,member
ToMa,SaMi,family,1,member
ToMa,SaRo,family,1,member
ToMa,PiSe,family,1,member
ToMa,AnSp,family,1,member
ToMa,FrSp,family,1,member
ToMa,GiSp,family,1,member
ToMa,ViSp,family,1,member
VitM,GCal,family,1,member
VitM,ToSp,family,1,member
VitM,GeAl,family,1,member
VitM,GiBa,family,1,member
VitM,ToBu,family,1,member
VitM,AnRo,family,1,member
VitM,GiuCa,family,1,member
VitM,GiCi,family,1,member
VitM,AnCi,family,1,member
VitM,ToMa,family,2,member
VitM,NiMi,family,1,member
VitM,NuMi,family,1,member
VitM,SaMi,family,1,member
VitM,SaRo,family,1,member
VitM,PiSe,family,1,member
VitM,AnSp,family,1,member
VitM,FrSp,family,1,member
VitM,GiSp,family,1,member
VitM,ViSp,family,1,member
NiMi,GCal,family,1,member
NiMi,ToSp,family,1,member
NiMi,GeAl,family,1,member
NiMi,GiBa,family,1,member
NiMi,ToBu,family,1,member
NiMi,AnRo,family,1,member
NiMi,GiuCa,family,1,member
NiMi,GiCi,family,1,member
NiMi,AnCi,family,1,member
NiMi,ToMa,family,1,member
NiMi,VitM,family,1,member
NiMi,NuMi,family,2,member
NiMi,SaMi,family,2,member
NiMi,SaRo,family,1,member
NiMi,PiSe,family,1,member
NiMi,AnSp,family,1,member
NiMi,FrSp,family,1,member
NiMi,GiSp,family,1,member
NiMi,ViSp,family,1,member
NuMi,GCal,family,1,member
NuMi,ToSp,family,1,member
NuMi,GeAl,family,1,member
NuMi,GiBa,family,1,member
NuMi,ToBu,family,1,member
NuMi,AnRo,family,1,member
NuMi,GiuCa,family,1,member
NuMi,GiCi,family,1,member
NuMi,AnCi,family,1,member
NuMi,ToMa,family,1,member
NuMi,VitM,family,1,member
NuMi,NiMi,family,2,member
NuMi,SaMi,family,2,member
NuMi,SaRo,family,1,member
NuMi,PiSe,family,1,member
NuMi,AnSp,family,1,member
NuMi,FrSp,family,1,member
NuMi,GiSp,family,1,member
NuMi,ViSp,family,1,member
SaMi,GCal,family,1,member
SaMi,ToSp,family,1,member
SaMi,GeAl,family,1,member
SaMi,GiBa,family,1,member
SaMi,ToBu,family,1,member
SaMi,AnRo,family,1,member
SaMi,GiuCa,family,1,member
SaMi,GiCi,family,1,member
SaMi,AnCi,family,1,member
SaMi,ToMa,family,1,member
SaMi,VitM,family,1,member
SaMi,NiMi,family,2,member
SaMi,NuMi,family,2,member
SaMi,SaRo,family,1,member
SaMi,PiSe,family,1,member
SaMi,AnSp,family,1,member
SaMi,FrSp,family,1,member
SaMi,GiSp,family,1,member
SaMi,ViSp,family,1,member
PiSe,GCal,family,1,member
PiSe,ToSp,family,1,member
PiSe,GeAl,family,1,member
PiSe,GiBa,family,1,member
PiSe,ToBu,family,1,member
PiSe,AnRo,family,1,member
PiSe,GiuCa,family,1,member
PiSe,GiCi,family,1,member
PiSe,AnCi,family,1,member
PiSe,ToMa,family,1,member
PiSe,VitM,family,1,member
PiSe,NiMi,family,1,member
PiSe,NuMi,family,1,member
PiSe,SaMi,family,1,member
PiSe,SaRo,family,1,member
PiSe,AnSp,family,1,member
PiSe,FrSp,family,1,member
PiSe,GiSp,family,1,member
PiSe,ViSp,family,1,member
AnSp,GCal,family,1,member
AnSp,ToSp,family,2,member
AnSp,GeAl,family,1,member
AnSp,GiBa,family,1,member
AnSp,ToBu,family,1,member
AnSp,AnRo,family,1,member
AnSp,GiuCa,family,1,member
AnSp,GiCi,family,1,member
AnSp,AnCi,family,1,member
AnSp,ToMa,family,1,member
AnSp,VitM,family,1,member
AnSp,NiMi,family,1,member
AnSp,NuMi,family,1,member
AnSp,SaMi,family,1,member
AnSp,SaRo,family,1,member
AnSp,PiSe,family,1,member
AnSp,FrSp,family,2,member
AnSp,GiSp,family,2,member
AnSp,ViSp,family,2,member
FrSp,GCal,family,1,member
FrSp,ToSp,family,2,member
FrSp,GeAl,family,1,member
FrSp,GiBa,family,1,member
FrSp,ToBu,family,1,member
FrSp,AnRo,family,1,member
FrSp,GiuCa,family,1,member
FrSp,GiCi,family,1,member
FrSp,AnCi,family,1,member
FrSp,ToMa,family,1,member
FrSp,VitM,family,1,member
FrSp,NiMi,family,1,member
FrSp,NuMi,family,1,member
FrSp,SaMi,family,1,member
FrSp,SaRo,family,1,member
FrSp,PiSe,family,1,member
FrSp,AnSp,family,2,member
FrSp,GiSp,family,2,member
FrSp,ViSp,family,2,member
GiSp,GCal,family,1,member
GiSp,ToSp,family,2,member
GiSp,GeAl,family,1,member
GiSp,GiBa,family,1,member
GiSp,ToBu,family,1,member
GiSp,AnRo,family,1,member
GiSp,GiuCa,family,1,member
GiSp,GiCi,family,1,member
GiSp,AnCi,family,1,member
GiSp,ToMa,family,1,member
GiSp,VitM,family,1,member
GiSp,NiMi,family,1,member
GiSp,NuMi,family,1,member
GiSp,SaMi,family,1,member
GiSp,SaRo,family,1,member
GiSp,PiSe,family,1,member
GiSp,AnSp,family,2,member
GiSp,FrSp,family,2,member
GiSp,ViSp,family,2,member
ViSp,GCal,family,1,member
ViSp,ToSp,family,2,member
ViSp,GeAl,family,1,member
ViSp,GiBa,family,1,member
ViSp,ToBu,family,1,member
ViSp,AnRo,family,1,member
ViSp,GiuCa,family,1,member
ViSp,GiCi,family,1,member
ViSp,AnCi,family,1,member
ViSp,ToMa,family,1,member
ViSp,VitM,family,1,member
ViSp,NiMi,family,1,member
ViSp,NuMi,family,1,member
ViSp,SaMi,family,1,member
ViSp,SaRo,family,1,member
ViSp,PiSe,family,1,member
ViSp,AnSp,family,2,member
ViSp,FrSp,family,2,member
ViSp,GiSp,family,2,member
SCp,BeBr,family,1,clan
SCp,GiBr,family,1,clan
BeBr,SCp,family,1,clan
GiBr,SCp,family,1,clan
BeBr,GiBr,family,2,member
